"","regiao","estado","municipio","coduf","codmun","codRegiaoSaude","nomeRegiaoSaude","data","semanaEpi","populacaoTCU2019","casosAcumulado","casosNovos","obitosAcumulado","obitosNovos","Recuperadosnovos","emAcompanhamentoNovos","interior/metropolitana"
"2613","Sudeste","MG","Guimarânia",31,NA,NA,NA,2021-05-11,19,8039,710,0,11,0,NA,NA,FALSE
"2614","Sudeste","MG","Guiricema",31,NA,NA,NA,2021-05-11,19,8392,628,4,23,0,NA,NA,FALSE
"2615","Sudeste","MG","Gurinhatã",31,NA,NA,NA,2021-05-11,19,5639,168,0,1,0,NA,NA,FALSE
"2616","Sudeste","MG","Heliodora",31,NA,NA,NA,2021-05-11,19,6558,311,3,10,0,NA,NA,FALSE
"2617","Sudeste","MG","Iapu",31,NA,NA,NA,2021-05-11,19,11004,556,0,26,0,NA,NA,FALSE
"2618","Sudeste","MG","Ibertioga",31,NA,NA,NA,2021-05-11,19,5021,107,12,3,0,NA,NA,FALSE
"2619","Sudeste","MG","Ibiá",31,NA,NA,NA,2021-05-11,19,25199,1514,8,29,0,NA,NA,FALSE
"2620","Sudeste","MG","Ibiaí",31,NA,NA,NA,2021-05-11,19,8395,220,0,6,0,NA,NA,FALSE
"2621","Sudeste","MG","Ibiracatu",31,NA,NA,NA,2021-05-11,19,5400,161,0,2,0,NA,NA,FALSE
"2622","Sudeste","MG","Ibiraci",31,NA,NA,NA,2021-05-11,19,13828,677,2,19,0,NA,NA,FALSE
"2623","Sudeste","MG","Ibirité",31,NA,NA,NA,2021-05-11,19,180204,7901,8,266,0,NA,NA,TRUE
"2624","Sudeste","MG","Ibitiúra de Minas",31,NA,NA,NA,2021-05-11,19,3488,349,0,0,0,NA,NA,FALSE
"2625","Sudeste","MG","Ibituruna",31,NA,NA,NA,2021-05-11,19,2989,185,4,1,0,NA,NA,FALSE
"2626","Sudeste","MG","Icaraí de Minas",31,NA,NA,NA,2021-05-11,19,11990,229,0,2,0,NA,NA,FALSE
"2627","Sudeste","MG","Igarapé",31,NA,NA,NA,2021-05-11,19,43045,2183,0,60,0,NA,NA,TRUE
"2628","Sudeste","MG","Igaratinga",31,NA,NA,NA,2021-05-11,19,10860,568,0,12,0,NA,NA,FALSE
"2629","Sudeste","MG","Iguatama",31,NA,NA,NA,2021-05-11,19,7947,430,0,6,0,NA,NA,FALSE
"2630","Sudeste","MG","Ijaci",31,NA,NA,NA,2021-05-11,19,6550,228,1,7,0,NA,NA,FALSE
"2631","Sudeste","MG","Ilicínea",31,NA,NA,NA,2021-05-11,19,12375,600,4,19,0,NA,NA,FALSE
"2632","Sudeste","MG","Imbé de Minas",31,NA,NA,NA,2021-05-11,19,6903,266,0,6,0,NA,NA,FALSE
"2633","Sudeste","MG","Inconfidentes",31,NA,NA,NA,2021-05-11,19,7328,342,0,8,0,NA,NA,FALSE
"2634","Sudeste","MG","Indaiabira",31,NA,NA,NA,2021-05-11,19,7351,189,0,1,0,NA,NA,FALSE
"2635","Sudeste","MG","Indianópolis",31,NA,NA,NA,2021-05-11,19,6891,463,0,3,0,NA,NA,FALSE
"2636","Sudeste","MG","Ingaí",31,NA,NA,NA,2021-05-11,19,2767,90,0,3,0,NA,NA,FALSE
"2637","Sudeste","MG","Inhapim",31,NA,NA,NA,2021-05-11,19,24140,1788,6,57,0,NA,NA,FALSE
"2638","Sudeste","MG","Inhaúma",31,NA,NA,NA,2021-05-11,19,6271,525,2,6,0,NA,NA,FALSE
"2639","Sudeste","MG","Inimutaba",31,NA,NA,NA,2021-05-11,19,7515,384,0,11,0,NA,NA,FALSE
"2640","Sudeste","MG","Ipaba",31,NA,NA,NA,2021-05-11,19,18607,1609,12,38,0,NA,NA,FALSE
